"target","model","typ_modelu","liczba_predyktorow","parametry","MSE_train","RMSE_train","MAE_train","R2_train","MSE_test","RMSE_test","MAE_test","R2_test","zmienne"
"wind_speed_10m_next","Funkcje sklejane bs df=4","funkcje sklejane bs",19,"df = 4",3.1248176054791,1.76771536325255,1.26533055496179,0.958675701544749,3.8116585294313,1.95234692855325,1.39711343653565,0.926025958857323,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_speed_10m_next","Regresja wielomianowa st. 5","wielomianowy",19,"stopień = 5",3.12458708403881,1.76765015883766,1.26530822400483,0.958678750086457,3.81353802118055,1.95282821087277,1.39740945514789,0.925989482977095,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_speed_10m_next","Funkcje sklejane bs df=6","funkcje sklejane bs",19,"df = 6",3.12310861431038,1.76723190733712,1.2650852486079,0.95869830217942,3.81579538792533,1.95340609908061,1.3982991151066,0.925945673559446,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_speed_10m_next","Funkcje sklejane bs df=10","funkcje sklejane bs",19,"df = 10",3.12207811444142,1.76694032565942,1.26490050752768,0.958711930073755,3.81814795718681,1.95400817735925,1.39904153413076,0.925900016516981,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_speed_10m_next","Naturalne funkcje sklejane ns df=8","naturalne funkcje sklejane",19,"df = 8",3.12352998577866,1.76735112124859,1.26516679665029,0.958692729732476,3.81815209537144,1.95400923625541,1.3986815495365,0.925899936205947,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_speed_10m_next","Funkcje sklejane bs df=8","funkcje sklejane bs",19,"df = 8",3.12219326300165,1.76697290952681,1.26492458337562,0.958710407286165,3.8181740274502,1.95401484831876,1.39885484911665,0.925899510563281,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_speed_10m_next","Naturalne funkcje sklejane ns df=6","naturalne funkcje sklejane",19,"df = 6",3.12463454469044,1.76766358357309,1.26532204694399,0.958678122440821,3.81843456988452,1.95408151567035,1.39907926276031,0.925894454135323,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_speed_10m_next","Naturalne funkcje sklejane ns df=10","naturalne funkcje sklejane",19,"df = 10",3.12279598207153,1.76714345260127,1.26504486780624,0.958702436599273,3.81849860168943,1.95409789971983,1.39849393355416,0.925893211450194,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_speed_10m_next","GAM k=9","GAM",19,"k składników s() = 9",3.12463148690008,1.76766271864858,1.26536595134479,0.958678162878715,3.81919156891046,1.95427520296156,1.39891627397564,0.925879762820071,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_speed_10m_next","Regresja wielomianowa st. 4","wielomianowy",19,"stopień = 4",3.12603418705339,1.76805944104077,1.26555480527142,0.958659612804087,3.81983380242108,1.95443951106732,1.398372616921,0.925867298794825,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
